policy,analog_candidate,model_residual_q8,attention_flip_q8,token_flip_q8,sensitivity_q8,cumulative_error_q8,governor_decision,governor_action,governor_reason,next_cumulative_error_q8,model_decision,model_reason,interpretation
all_digital_reference,0,0,0,0,96,0,0,0,not_analog_candidate,0,digital_reference,reference_path,reference path; no analog service is requested
measured_fixed_projection_tile,1,6,32,45,96,6,1,0,analog_within_budget,12,analog_path,measured_tile_within_budget,measured tile damage remains small enough for this fixed-projection use
measured_projection_stressed_tile,1,40,45,51,224,14,0,0,sensitive_path_needs_digital,14,digital_fallback,attention_selection_too_sensitive,model-level sensitivity is high enough that a moderate residual should not be spent
measured_attention_scores_analog,1,40,45,32,208,10,0,0,sensitive_path_needs_digital,10,digital_fallback,attention_selection_too_sensitive,model-level sensitivity is high enough that a moderate residual should not be spent
measured_logits_analog,1,40,38,51,224,12,0,0,sensitive_path_needs_digital,12,digital_fallback,token_choice_too_sensitive,model-level sensitivity is high enough that a moderate residual should not be spent
backend_dense1.matmul,1,6,0,0,96,6,1,0,analog_within_budget,12,analog_path,projection-tolerant,backend graph operator dense1.matmul enters the hardware lab as analog with projection-tolerant sensitivity
backend_dense1.bias,0,0,0,0,128,0,0,0,not_analog_candidate,0,digital_reference,digital-support,backend graph operator dense1.bias enters the hardware lab as digital with digital-support sensitivity
backend_dense1.relu,0,0,0,0,128,0,0,0,not_analog_candidate,0,digital_reference,digital-support,backend graph operator dense1.relu enters the hardware lab as digital with digital-support sensitivity
backend_dense2.matmul,1,6,0,0,96,6,1,0,analog_within_budget,12,analog_path,projection-tolerant,backend graph operator dense2.matmul enters the hardware lab as analog with projection-tolerant sensitivity
backend_dense2.bias,0,0,0,0,128,0,0,0,not_analog_candidate,0,digital_reference,digital-support,backend graph operator dense2.bias enters the hardware lab as digital with digital-support sensitivity
